year,state,births,region,percent,topFive
1915,SC,32588,South,1.93,"['James', 'John', 'William', 'Willie', 'Robert']"
1915,SD,9643,Midwest,0.57,"['John', 'Robert', 'Mary', 'Helen', 'Margaret']"
1915,TN,39024,South,2.31,"['James', 'William', 'John', 'Robert', 'Charles']"
1915,TX,80139,South,4.74,"['Mary', 'James', 'William', 'John', 'Robert']"
1915,UT,7700,West,0.46,"['Mary', 'John', 'William', 'Helen', 'Ruth']"
1915,VT,4421,Northeast,0.26,"['Mary', 'Helen', 'John', 'Dorothy', 'Robert']"
1915,VA,41044,South,2.43,"['James', 'William', 'John', 'Virginia', 'Robert']"
1915,WA,15156,West,0.90,"['Robert', 'John', 'Mary', 'William', 'Helen']"
1915,WV,25920,South,1.53,"['Mary', 'William', 'James', 'John', 'Charles']"
1915,WI,40235,Midwest,2.38,"['John', 'Dorothy', 'Mary', 'Helen', 'Robert']"
1915,WY,1846,West,0.11,"['William', 'John', 'James', 'Mary', 'Robert']"
1916,AK,320,West,0.02,"['John', 'William', 'Mary', 'James', 'Helen']"
1916,AL,47023,South,2.63,"['James', 'William', 'John', 'Robert', 'Annie']"
1916,AZ,4802,West,0.27,"['Mary', 'John', 'Manuel', 'William', 'Robert']"
1916,AR,30094,South,1.68,"['James', 'William', 'John', 'Robert', 'Ruby']"
1916,CA,37509,West,2.10,"['Mary', 'John', 'Robert', 'William', 'Dorothy']"
1916,CO,12993,West,0.73,"['Mary', 'John', 'Robert', 'William', 'Helen']"
